she,kanojo
he,kare
name,namae
bag,kaban
clock,tokei
pencase,fudebako
notebook,no-to
bottle,botoru
table/desk,tsukue
hat,boushi
eye glasses,megane
chair,isu
wall,kabe
door,doa
wallet,saifu
wrist watch,udedokei
clothes,fuku
paper,kami
shoe(s),kutsu
money,okane
book,hon
floor,yuka
ceiling,tenjou
window,mado
lamp,ranpu
water,mizu
good morning,ohayou gozaimas
good afternoon,konnichiwa
good evening,konbanwa
this (these),kore
pen(s),pen
key(s),kagi
PC,PC
POKÉMON,Pocketo Monster
My/me,WATASI
Mobile phone,KEITAI
You, your,Anata
Yes,HAI
No,IIE
China,Chuugoku
South Korea,Kankoku
Spain,Supein
France,Furansu
Greece,Girisha
Turkey,Toruko
United Kingdom,Igirisu
Belgium,Berugi- (pronounced: berugii)
Netherlands,Oranda
Switzerland,Suisu
USA,Amerika
Germany,Doitsu
Italy,Itaria
person,hito
person [respect form],kata
Poland,Po-rando
city/town,machi
village,mura
university,daigaku
school,gakkou
company,kaisha
PWr,Wroclaw kouka daigaku
Which,DOCHIRA
here,koko
there,soko
over there,asoko
post office,yuubinkyoku
police station,keisatsusho
church,kyoukai
park,kouen
bank,ginkou
theatre,gekijou
cinema,eigakan
museum,hakubutsukan
library,toshokan
1,ichi
2,ni
3,san
4,yon
5,go
6,roku
7,nana
8,hachi
9,kyuu
10,juu
dore,which one (when there are 3 choices or more)
dochira,which one (when there are only 2 choices)
railway station,eki
pub,pabu
swimming pool,pu-ru
shop,mise
hospital,byouin
airport,kuukou
toilet,toire
temple,otera
castle,oshiro
head,atama
face,kao
eye(s),me
nose,hana
ear(s),mimi
mouth,kuchi
hair,kami
body,karada
neck,kubi
shoulder(s),kata
arm(s),ude
hand(s),te
chest,mune
stomach,onaka
leg(s),ashi
back,senaka
home/house,ie
Europe,yo-roppa
